_uid_,nombre,descripcion,categoria,area_accion
"15",Iniciativa 6,Curso sobre Gestión de recursos patrimoniales limonenses-Objetivo 2 del proyecto (comunidad limonense).,Iniciativa,Educación
"16",Iniciativa 7,Juego didáctico-virtual- (jóvenes-niños-profesores de estudios sociales) sobre identificación de patrimonio limonense.,Iniciativa,Educación
"17",Iniciativa 8,"Grupo de promotores, capacitarlos para proyectos educativos: jóvenes, niños y adultos",Iniciativa,Educación
"18",Iniciativa 9,"Definir promotores según grupos sociales, que tienen a su cargo algunos patrimonios",Iniciativa,Educación
"19",Iniciativa 10,"Formar guías acreditados, ya se está trabajando con el ICT.",Iniciativa,Educación
"20",Iniciativa 11,"Coordinar con los centros educativos o con las direcciones regionales o sectores, para conocer en qué materia se aborda el tema, definir una estrategia. Trabajar con población cautiva. Dar apoyo o capacitación para compartir la información sobre el patrimonio limonense",Iniciativa,Educación
"21",Iniciativa 12,Educar a la población en general.,Iniciativa,Educación
"22",Iniciativa 13,Pensar en el enfoque étnico. Muchos edificios tienen que ver con esta visión. En la parte sensitiva de lo que es el patrimonio.,Iniciativa,Educación
"23",Iniciativa 14,Divulgar los cuentos + los dibujos,Iniciativa,Divulgación y promoción
"24",Iniciativa 15,Challenge_ divulgar en redes sociales y hacer un concurso y poner los ganadores en el youtube,Iniciativa,Divulgación y promoción
"25",Iniciativa 16,"Divulgar en redes sociales, biblioteca pública para difundir las biografías",Iniciativa,Divulgación y promoción
"26",Iniciativa 17,Videos (Calipsonias-Aula Móvil CONARE).,Iniciativa,Divulgación y promoción
"27",Iniciativa 18,Sistema de información geográfica de recursos patrimoniales Limonense.,Iniciativa,Divulgación y promoción
"28",Iniciativa 19,Continuidad de la Divulgación y generación de materiales en redes sociales y medios digitales.,Iniciativa,Divulgación y promoción
"29",Iniciativa 20,"Cortos (videos 10 minutos aprox.) relacionados con diferentes temáticas relacionadas con patrimonio (ejemplo recetas), que capten la atención, con humor, etc.",Iniciativa,Divulgación y promoción
"30",Iniciativa 21,"Materiales de Heritage a más disposición general, en colegios, escuelas.",Iniciativa,Divulgación y promoción
"31",Iniciativa 22,"Convertir el material en micros, contar un sabí­a que, campaña para radio. Campaña propia de los recursos patrimoniales, Más que los edificios. Dar a conocer las razones, los valores, de cada patrimonio.",Iniciativa,Divulgación y promoción
"32",Iniciativa 23,"Utilizar tecnología, dejar QR, coordinar con escuelas y colegios trabajos extraclase",Iniciativa,Divulgación y promoción
"33",Iniciativa 24,Intercambiar entre las diferentes zonas de Limón. Y reflexionar las costumbres y cómo es que se viven en su comunidad_ virtualidad,Iniciativa,Encadenamientos
"34",Iniciativa 25,"Challenge, hacer la invitación a otras zonas del país y hacer luego uno solo UCR teatro, danza, coro_cursos libres y cursos fines de semana y crear alianzas",Iniciativa,Encadenamientos
"35",Iniciativa 26,Buscar patrocinadores que puedan dar un acompañamiento desde la técnica y otro desde una parte económica,Iniciativa,Encadenamientos
"36",Iniciativa 26,Venta de las biografías,Iniciativa,Encadenamientos
"37",Iniciativa 28,Tour por medio de guía oficial del ICT,Iniciativa,Encadenamientos
